CSHT_QNM_00001,SDMO 100KVA 3P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,K&V 2V-400Ah,Posmax 2V-300Ah
CSHT_QNM_00002,BRUNO 30KVA 3P,DELTA,NETSURE 731 A41,Posmax 2V-300Ah,Posmax 12V-150Ah
CSHT_QNM_00003,Onis Visa 30KVA 3P,EMERSON PS48300-3B/2900,EMERSON PS48300-3B/2900,Narada 2V-260AH,Posmax 2V-300Ah
CSHT_QNM_00004,HOATHANG 10KVA 1P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00005,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,Narada 2V-500Ah,0
CSHT_QNM_00006,HUUTOAN 11.5KVA 1P,HUAWEI TP48300P,EMERSON PS48300-3B/2900,Posmax 12V-150Ah,K&V 12V-200Ah
CSHT_QNM_00007,KAMA 5KVA 1P,ZTE,0,Shoto 2V-200Ah,0
CSHT_QNM_00008,SDMO 22KVA 3P,NETSURE 731 A41,0,Posmax 2V-300Ah,0
CSHT_QNM_00009,Dùng chung Mobiphone,EMERSON PS48300-3B/2900-X1,0,Leoch 2V-400Ah,0
CSHT_QNM_00010,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,Shoto 12V-100AH,0
CSHT_QNM_00011,KAMA 5KVA 1P,EMERSON PS48300-3B/2900,0,K&V 12V-150AH,0
CSHT_QNM_00012,VIETGEN 16KVA 3P,HUAWEI TP48300P,0,Narada 2V-500Ah,0
CSHT_QNM_00013,KAMA 5KVA 1P,NETSURE 731 A41,0,Narada 2V-500Ah,0
CSHT_QNM_00014,HUYNDAI 5KVA 1P,HUAWEI TP48300P,0,Leoch 12V-200Ah,Posmax 12V-200Ah
CSHT_QNM_00015,SDMO 22KVA 3P,EMERSON PS48300-3B/2900-X1,NETSURE 731 A41,K&V 12V-150AH,Posmax 2V-300Ah
